Course ID , Course Name             , Skills Taught IDs , Provider    , Duration , Format
1, Intro to Python         ,1, Online Uni , 6 weeks  , Online
2, Advanced Data Analysis  ,3, DataSchool , 12 weeks , Online
3, Effective Communication,4, SkillBuild , 4 weeks  , In-person
4, Machine Learning Basics ,9, AI Academy , 8 weeks  , Online
5, Project Management Fundamentals ,2, SkillMaster , 6 weeks , In-person
6, Data Visualization Techniques  ,81, VisualLearn , 10 weeks , Online
7, Leadership Essentials ,94, LeadNow     , 5 weeks  , Hybrid
8, Web Development Bootcamp ,13, CodeCraft   , 16 weeks , In-person
9, Cybersecurity Fundamentals     ,115, SecureEd         , 8 weeks  , Online
10, Business Analysis Workshop     ,47, AnalyzePro       , 4 weeks  , In-person
11, UI/UX Design Principles        ,117, DesignHub        , 6 weeks  , Hybrid
12, Negotiation Skills Mastery     ,114, NegotiateWell    , 10 weeks , Online
13, SQL Crash Course               ,11, SQLMaster        , 3 weeks  , Online
14, Data Engineering Bootcamp      ,93, DataForge        , 12 weeks , In-person
15, Public Speaking Mastery        ,110, SpeakUpNow       , 8 weeks  , In-person
16, Time Management Workshop       ,44, TimeMastery      , 5 weeks  , Hybrid
17, Blockchain Basics              ,95, BlockTech        , 6 weeks  , Online
18, Project Planning and Scheduling,2, PlanItRight      , 8 weeks  , In-person
19, Data Governance Essentials    ,119, DataGovern       , 6 weeks  , Online
20, Emotional Intelligence Workshop,78, EmotionIQ        , 4 weeks  , In-person
21, DevOps Fundamentals            ,35, DevOpsAcademy    , 10 weeks , Online
22, Mobile App Development Bootcamp,67, AppDevInstitute , 16 weeks , In-person
23, Statistical Analysis Workshop ,7, StatsMasters     , 6 weeks  , In-person
24, Leadership Development Program,58, LeadExcel        , 12 weeks , Hybrid
25, Data Science Foundations      ,53, DataInsights     , 8 weeks  , Online
26, Networking Essentials         ,112, NetLearn         , 5 weeks  , Online
27, Creativity Workshop           ,106, CreativityLab    , 4 weeks  , Hybrid
28, Software Testing Techniques   ,91, TestPro          , 8 weeks  , In-person
29, Front-end Development Bootcamp,79, FrontEndForge    , 16 weeks , Hybrid
30, Conflict Resolution Seminar   ,42, ResolveNow       , 6 weeks  , In-person
31, Data Visualization Bootcamp     ,81, VizTech          , 12 weeks , Hybrid
32, Financial Analysis Fundamentals,31, FinLearn         , 8 weeks  , Online
33, Leadership in Practice         ,94, LeadInstitute    , 6 weeks  , In-person
34, Python for Data Analysis       ,1, PythonMasters    , 6 weeks  , Online
35, Project Management Essentials ,2, ProjectPro       , 10 weeks , Hybrid
36, Communication Skills Workshop ,3, CommSkill        , 4 weeks  , In-person
37, Machine Learning Applications ,9, MLExperts        , 8 weeks  , Online
38, Software Development Bootcamp  ,51, CodeForge        , 16 weeks , In-person
39, Network Security Fundamentals ,23, NetSecure        , 8 weeks  , Online
40, Agile Project Management      ,35, AgileMaster      , 6 weeks  , Hybrid
41, Business Intelligence Fundamentals,107, BIInstitute      , 10 weeks , Online
42, Emotional Intelligence Mastery,78, EmoIQ            , 8 weeks  , In-person
43, Web Design Essentials         ,117, WebDesignHub     , 6 weeks  , Online
44, Data Warehousing Workshop     ,99, DataWare         , 4 weeks  , In-person
45, Crisis Management Seminar     ,36, CrisisResolve    , 8 weeks  , Hybrid
46, Data Science Bootcamp         ," 9, 25             ", DataSciencePro   , 20 weeks , In-person
47, Presentation Skills Mastery   ,82, PresentMastery   , 6 weeks  , In-person
48, Cloud Computing Fundamentals ,83, CloudTech        , 8 weeks  , Online
49, Negotiation Strategies        ,12, NegotiationPro   , 6 weeks  , Hybrid
50, SQL for Beginners             ,11, SQLBeginner      , 4 weeks  , Online
51, Time Management Essentials   ,24, TimeEssentials   , 5 weeks  , In-person
52, Data Analysis Bootcamp       ," 3, 49            ", DataAnalysisPro  , 12 weeks , Hybrid
53, Leadership Skills Workshop   ,94, LeadSkills       , 4 weeks  , In-person
54, Python Programming Workshop   ,1, PythonWorkshop   , 6 weeks  , Online
55, UI/UX Design Bootcamp         ,117, DesignCamp       , 16 weeks , In-person
56, Cybersecurity Essentials     ,115, SecureTech       , 10 weeks , Hybrid
57, Conflict Resolution Training  ,42, ResolveTraining  , 8 weeks  , In-person
58, Data Governance Workshop     ,119, DataGovWorkshop  , 6 weeks  , Online
59, Public Speaking Essentials   ,110, SpeakEssentials  , 4 weeks  , In-person
60, Mobile App Design Workshop   ,22, AppDesign        , 8 weeks  , Hybrid
61, Data Analysis Fundamentals        ,3, DataInsights     , 6 weeks  , Online
62, Leadership and Management        ,94, LeadForward      , 8 weeks  , Hybrid
63, Python for Machine Learning      ," 1, 9              ", MLCode           , 10 weeks , In-person
64, Business Strategy Development    ,107, BizStrategy      , 12 weeks , Online
