EMPLOYEE_ID,CURRENT_DEPARTMENT,CURRENT_JOB_TITLE,PREVIOUS_DEPARTMENT,PREVIOUS_JOB_TITLE,COURSE,DATE,SKILL
Employee_1,Commercial Support Department,Support & Quality Unit Team Member,Commercial Support Department,Delivery & Back Office Support Team Member,Teamwork Skills: Communicating Effectively in Groups,2023-05-12T12:05:41.000Z
Employee_2,,,Enterprise Business,Network Administrator TM,Business Writing,2021-11-09T23:46:50.000Z
Employee_3,,,Engineering,NOC Operator,Negotiation  Fundamentals,2021-11-03T22:14:46.000Z
Employee_4,Consumer Business,VIP Account's (Darak) Professional,Consumer Business,VIP Account's Manager (Darak) TM,Teamwork Skills: Communicating Effectively in Groups,2023-08-16T08:33:00.000Z
Employee_5,Technology and Digital Innovation,Enterprise Applications PT,,CRM Analyst and Developer Intern,Databases and SQL for Data Science with Python,2023-03-30T09:26:06.000Z
Employee_6,,,Finance,Accounts Payable Team Member,Corporate Strategy,2021-08-17T17:12:03.000Z
Employee_7,Engineering,RAN Implementation Senior Manager,Engineering,RAN Implementation Manager,Fundamentals of Project Planning and Management,2023-06-20T10:59:21.000Z
Employee_8,Finance,Bank Reconciliation Senior Professional,Finance,Project & Reconciliation Team Member,Applying Data Analytics in Accounting,2023-05-06T07:28:08.000Z
Employee_9,,,,CVM & Base Management Team Member,Data Analysis and Interpretation Capstone,2022-08-18T02:35:42.000Z
Employee_10,Engineering,RAN Optimization Engineer Senior Team Member,Engineering,RAN Optimization Engineer,"Capstone: Retrieving, Processing, and Visualizing Data with Python",2022-12-30T12:02:35.000Z
Employee_11,Commercial Support Department,Enterprise & Home Internet Complaints Engineer Professional,Commercial Support Department,Customer Service Center Technical Team Head,Customer Centricity as Competitive Advantage - Jagdish Sheth,2023-06-20T08:58:45.000Z
Employee_12,Engineering,RAN Optimization Engineer Senior Professional,Engineering,RAN Optimization Engineer,Python Data Structures,2023-01-11T09:49:16.000Z
Employee_13,Human Resources and Administration,"Pricing,Marketing Research & Business Intelligence Team Member",Human Resources and Administration,Talent Acquisition Team Member,Managing Talent,2022-11-06T19:42:54.000Z
Employee_14,Technology and Digital Innovation,Quality Assurance Senior Team Member,Technology and Digital Innovation,Quality Assurance Team Member,Introduction to the Internet of Things and Embedded Systems,2021-09-13T14:09:48.000Z
Employee_15,Legal & Regulatory Affairs,Regulatory Affairs Senior Team Member,Consumer Business,Abdali Mall Consumer Sales Consultant TM,What is Corruption: Anti-Corruption and Compliance,2023-05-28T20:17:42.000Z
Employee_16,Human Resources and Administration,Day Care Center Care Giver Senior Professional,Human Resources and Administration,Day Care Center Care Giver,Teamwork Skills: Communicating Effectively in Groups,2023-08-06T12:34:48.000Z
Employee_17,Engineering,RAN Dimensioning & Configuration Division Leader,Engineering,RAN Configuration Engineer,Collaborative Foresight: How to Game the Future,2022-02-24T14:24:32.000Z
Employee_18,Commercial Support Department,Enterprise & Home Internet Complaints Engineer Professional,Commercial Support Department,Help Desk Enterprise Helper Team Member,Customer Centricity as Competitive Advantage - Jagdish Sheth,2023-07-17T22:32:57.000Z
Employee_19,Commercial Support Department,Commercial Support & Quality Of Service Senior Team Member,Commercial Support Department,Commercial Support & Quality Of Service Team Member,Introduction to Data Analytics,2023-05-31T11:11:08.000Z
Employee_20,Data Analytics & AI,Data Engineering Division Leader,Data Analytics & AI,Data Scientist & AI Professional PR,Fundamentals of Project Planning and Management,2021-09-17T13:57:13.000Z
Employee_21,Consumer Business,Tabrbour Consumer Sales Consultant Senior Team Member,Consumer Business,Tabrbour Consumer Sales Consultant,Introduction to Data Analytics,2021-11-17T14:58:23.000Z
Employee_22,Data Analytics & AI,Business Analytics & AI Department Assisstant Specialist,Data Analytics & AI,Data Analysis & Commission Team Leader TLT,Business Strategy in Practice (Project-centered Course),2021-12-26T14:33:01.000Z
Employee_23,Technology and Digital Innovation,Technology Development Manager,Technology and Digital Innovation,Front End Developer Team Leader,Scrum Master Certification: Scrum Methodologies,2023-07-20T11:21:23.000Z
Employee_24,Corporate Communications and Sustainability,Corporate Sustainability Senior Team Member,Corporate Communications and Sustainability,Corporate Communications & CSR Team Member AT,Data-Driven Process Improvement,2023-11-19T15:31:19.000Z
Employee_25,Corporate Communications and Sustainability,Sponsorship Team Member,Corporate Communications and Sustainability,Sponsorship Team Member,Agile Project Management,2023-01-14T20:12:51.000Z
Employee_26,Enterprise Business,Sales Back Office  Team Member,Enterprise Business,Sales Back Office,Introduction to Business Analytics: Communicating with Data ,2023-09-20T09:56:57.000Z
Employee_27,Enterprise Business,Wholesale Data & International Services Specialist,Enterprise Business,Wholesale Data & International Services Team Member,Introduction to Business Analytics: Communicating with Data ,2023-08-21T22:59:17.000Z
Employee_28,Enterprise Business,Key Account's Senior Team Member,Enterprise Business,Key Account's Manager TM,Public Speaking Skills,2023-08-23T12:46:31.000Z
Employee_29,Engineering,RAN Planning Engineer Senior Professional,Engineering,RAN Planning Engineer Team Member,Urgent Optimism: How to Turn Foresight into Action,2022-03-06T15:27:24.000Z
Employee_30,"Governance, Risk, and Compliance",Business Excellence Specialist,"Governance, Risk, and Compliance",Business Excellence Team Member TM,Excel Power Tools for Data Analysis,2023-07-11T02:59:13.000Z
Employee_31,Finance,Commercial Procurement Professional,Finance,Procurement Team Member,Data-Driven Decisions with Power BI,2023-07-04T09:43:01.000Z
Employee_32,Human Resources and Administration,"Diversity, Equity, and inclusion Team Member",Human Resources and Administration,Organizational Development Team Member AT,Business Writing,2022-08-20T08:27:52.000Z
Employee_33,Consumer Business,Hashmi Consumer Sales Consultant Professional,Consumer Business,Wehdat Consumer Sales Consultant PR,Quantitative Methods in Finance,2022-01-01T19:07:35.000Z
Employee_34,Engineering,GIS Engineer Team Member,Engineering,GIS Engineer Team Member,"Capstone: Retrieving, Processing, and Visualizing Data with Python",2023-01-17T05:16:53.000Z
Employee_35,Enterprise Business,Enterprise Presales Specialist,Enterprise Business,Enterprise Presales Team Member,Digital Transformation,2022-04-12T23:53:18.000Z
Employee_36,Engineering,FTTH Activation Engineer Senior Team Member,Engineering,FTTH Activation Engineer PT,Forecasting Skills: See the Future Before it Happens,2022-04-05T11:05:53.000Z
Employee_37,Engineering,Core Network Switching Engineer Professional,Engineering,Core Network Switching Engineer,Fundamentals of Project Planning and Management,2023-11-01T07:04:06.000Z
Employee_38,Consumer Business,Business Simulation Senior Specialist,Consumer Business,Business Simulation Team Leader ,Data Management and Visualization,2022-08-17T23:09:51.000Z
Employee_39,Commercial Support Department,Enterprise & Home Internet Complaints Engineer Senior Team Member,Commercial Support Department,Help Desk Broadband Team Member,Teamwork Skills: Communicating Effectively in Groups,2023-10-05T08:46:58.000Z
Employee_40,Corporate Communications and Sustainability,CER Team Member,Corporate Communications and Sustainability,CER Team Member /Zinc,"Speak English Professionally: In Person, Online & On the Phone",2023-07-18T02:37:08.000Z
Employee_41,Consumer Business,GSM Postpaid Segment Senior Team Member,Consumer Business,GSM Postpaid Segment Team Member,Quantitative Methods in Finance,2021-11-15T12:28:26.000Z
Employee_42,Engineering,Transmission Senior Division Leader,Engineering,Transmission Expert E,Fundamentals of Project Planning and Management,2023-05-10T08:56:41.000Z
Employee_43,Commercial Support Department,Collection Account's Senior Team Member,Commercial Support Department,Collection Account's Manager,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",2022-03-07T06:28:43.000Z
Employee_44,Strategy & PMO,Strategy Senior Manager / TT,,PMO & Governance Manager,Introduction to Data Analytics,2022-07-28T06:05:45.000Z
Employee_45,,,,,Fundamentals of Project Planning and Management,2022-11-09T18:03:46.000Z
Employee_46,Commercial Support Department,Complaints Excellence & Quality Assurance Senior Professional,Commercial Support Department,Help Desk GSM Professional,Introduction to Data Analytics,2023-11-14T14:10:49.000Z
Employee_47,Engineering,IP & Transport NOC Engineer Senior Team Member,Engineering,NOC Engineer,Graphic Design,2023-09-19T00:00:16.000Z
Employee_48,Engineering,Project Implementation Civil Engineer Senior Team Member,Engineering,Project Implementation Civil Engineer TM,Teamwork Skills: Communicating Effectively in Groups,2023-10-28T20:47:25.000Z
Employee_49,Engineering,RAN Optimization Senior Division Leader,Engineering,RAN Optimization Team Leader ,International and Cross-Cultural Negotiation,2022-02-13T08:58:04.000Z
Employee_50,,,Corporate Communications and Sustainability,CER Team Member,"Foundations: Data, Data, Everywhere",2022-06-09T16:11:58.000Z
Employee_51,Engineering,RAN Optimization Senior Division Leader,Engineering,RAN  Optimization Expert,Negotiation  Fundamentals,2022-01-19T08:28:40.000Z
Employee_52,Enterprise Business,Electro Mechanical Data Centre Engineer Senior Division Leader,Enterprise Business,Electro Mechanical Data Centre Engineer TM,Digital Transformation,2022-05-29T07:44:54.000Z
Employee_53,Consumer Business,Prepaid GSM Senior Professional,Engineering,VAS Products Management Professional,Data Management and Visualization,2022-05-26T10:09:26.000Z
Employee_54,Engineering,RAN Implementation Senior Team Member,Engineering,RAN Implementation Team Member.-,Fundamentals of Project Planning and Management,2023-07-13T08:18:06.000Z
Employee_55,Human Resources and Administration,HR Communications and Youth Team Member,Human Resources and Administration,HR Communications and Youth Team Member,Diversity and Inclusion for HR Professionals,2022-11-15T14:55:17.000Z
