,CANDIDATE_REF_NUM,UNIVERSITY,EDUCATION,LANGUAGES,SKILLS
0,602809,"University of Bedfordshire,American University of Madaba","global business administration,Arts of Accounting","Arabic,English","MS-Office,Oracle"
1,448006,"AL Zaytoonah University,AL Zaytoonah University","Accounting,Accounting","Arabic: Native (tongue language),-English : Excellent (speaking, reading and writing)","Team work,Individual work,Work under pressure,Office work,Self-Motivated,Hardworking.,MS Word, MS Excel, MS Works.,Internet.,Accountant"
2,523437,University of Mutah,Finance and Banking Science,"Arabic,English","Ability to interpret,Attention to detail,Ability to apply rules to real-life facts,Deals with internal and external customers"
3,424365,Yarmouk University,Finance and Banking Sciences,"Arabic: Native or Bilingual proficiency,English: Professional working proficiency","Analytical thinking,Time-management,Communication and writing skills,Problem-solving abilities,Microsoft Office (Excel, Power Point, Word),Work under Pressure,Learn Quickly,User Experience"
4,444132,"Applied Science University Private (ASU),Al-Khader School Private In Jordan-Amman",Accounting,"Arabic (Native),English (very good)","Microsoft Office (Word, Excel, Power point, Access...),Preparing account statement for employee payroll,Preparing financial statements,Preparing trial balance,Work At (Masar system, Falcon system, Bonanza system, EPR system),Data entry,Strong ability to work in a team environment as well as independently,Desire to learn new skills with an ability to grasp new idea quickly,Demonstrated ability to communicate affectively with audience,Exceptional ability to adapt with work environments,Extensive experience working with individuals from diverse backgrounds,Auditing,The ability to work under pressure"
5,407675,"Hashemite university,الجامعة الهاشمية,الجامعة الهاشمية,الجامعة الهاشمية,الجامعة الهاشمية","BSc in Accounting,المحاسبة,المحاسبة تخصص المحاسبة,المحاسبة,المحاسبة","Arabic,English","work under stress,Work in teams,Problem solving,Flexibility,Computer skills,Technical skills,Microsoft office"
6,487616,Amman Ahlyya University,accounting,"Arabic,English","Active listening,Communication,Computer skills,Customer service,Interpersonal skills,Leadership,Management skills,Problem solving,Time management,Transferable skills,Customer service.,Reservations arrangement.,Answer telephones and give information to customers."
7,410032,Alzaytoonah University of Jordan,Accounting,Arabic,"Advance Microsoft Excel skills, Advance Quickbooks skills, Macro and Microeconomics, Simulated Practical Accounting, strong mathematical skills for problem solving and macros writing, strong Microsoft Office skills, Human Resource Management, strong teamwork ethics (including dealing with medical staff members to resolve urgent issues) and solid negotiation approaches."
8,403385,University of Hashemite,Business Administration,"Arabic,English","Full professional proficiency,Microsoft Office (Word, Excel, Power Point, Access).,Excellent Team Worker.,Works well Under Pressure.,Excellent presentation skills.,Excellent communication skills.,Excellent comprehensive skills. ? Organized and focused."
9,404212,"University of Jordan,,Al-Isra Private University,",Womens Studies,Unknown,"Leadership skills,Interpersonal Skills,Communications Skills,Analytical Skills,Critical Thinking,Team Player,Strategic Planning,Effective Listening,Service Minded,Problem Solving,Good Time Management,Attention to Details,Information Gathering,Resilience,Persistent,Integrity,Flexibility,Managed overall provision of Human Resources services, policies, and programs by market trends, current/proposed activities of the company. Designed, implemented and administered policies/activities to ensure availability and effective utilization of human resources for meeting the companys objectives. Conducted induction training for recruits and exit interviews, handled leave/final settlements according to company policies. Ensured timely recruitment of required level/quality of management staff and other business lines staff with appropriate approvals, to meet business needs. Focused on employee retention and key employee identification initiatives. Assisted the HR manager in all facets of administration encompassing the production of documented procedures for the HR function, renew policies, annual appraisal process, and payroll management.,Executed an array of network administration functions pertaining to backup, data recovery and system installation. Examined day-end system performance reports for analyzing system anomalies and effected immediate remedial measures. Evaluated and recommended network software and hardware for existing systems, performed regular system checks and preventive maintenance to ensure optimum system performance. Ensured accurate documentation of network problems and maintained confidentiality of information accessed by the users. Investigated/researched network issues and errors to determine causes, recommended/implemented corrections for efficient troubleshooting. Analyzed critical business issues and developed immediate/long term solutions encompassing enhancements to existing core applications and new software packages.,Managed and performed various "
10,744696,University Of Jordan,Accounting,"Arabic,English","Soft skills & Data entry training course Education for employment,Microsoft Excel / Microsoft Word / Microsoft Powerpoint / Outlook / Google Drive / Good Communication skills (written and verbal) / Team-work oriented / Fast learner / Customer Service/Computer Skills / Time Management/ Teamwork Skills / Ability to work under pressure / Good listener and communicator / Motivated"
11,425759,Al-Balqa Applied University,accounting,"Arabic: Native Language,English","Good Communication Skills,Teamwork,Microsoft Excel,Enterprise Resource Planning,Self Control,Hardworking and Having,Motivation Skills"
12,519289,The Hashemite University,Accounting,Bilingual in English and Arabic,"Budgeting,Finance operations,Data analysis,Annual reports tracking,Cash flow,Account reconciliation,System Implementations,Leadership,Time Management,Creativity,Critical Thinking,Problem Solving,Communication,Teamwork Skills"
13,438407,Al-Balqa Applied University/Faculty of Engineering,Computer Engineering,"Arabic (Native),English (Very good)","Responsible, self-learning, hardworking, reliable and able to work hard under pressure,Confidence, team leadership, team work, social person,Ambitious and adaptable to any situation for the job interested,Attention to detail, good listener to advice and ideas"
14,424997,AL_ALBAYT University.,finance and banking,"Arabic: mother tongue,English very good","Promote Team work, binding organizational culture; provide constructive comments and coaching notes.,Adaptable, ethical, quick learner, team player, trustworthy, innovative with a strong client service orientation.,Organized, able to allocate and delegate tasks based on a planned time schedule and get work done accurately under pressure of deadlines, as well as preparing custom reports, and plan contingency projects.,Skilled in designing, establishing, and maintaining custom management control and reporting systems.,Great a work environment that is lively,Exciting and full of enthusiasm working knowledge using computer skills.,Professional use or Microsoft office (Excel, Word),_Ability and enjoys coaching.,_ Training and developing a time.,Relationship skills."
15,405235,Yarmouk University (Irbid),accounting,Unknown,"Planning and organizing,Attention to detail, Problem solving,Team player,ERP System (Epicor Application),Excellent knowledge of IFRS.,Knowledge of regulatory standards,MS Office"
16,481391,Philadelphia University,International Accounting,"English,Arabic",Unknown
17,407547,Yarmouk University,Accounting,"Arabic/Level: Native Speaker,. English/Level: Intermediate","Established and maintained an effective system for analyzing, recording and reporting on operating systems.,Working with a turnover of over JD25 million per year.,Prepare revenue budgets, forecasts, and plans Marketing Managers.,Audit financial statements at the end of year and consolidate all branches reports.,Commissioner of social insurance, bank accounts and tax of sales and income.,All daily accounting transactions and reconciliations.,Costing and managing purchases orders and decide the selling prices as specific rules.,Ensuring periodic closing, within time limits and create the F/S (quarterly and annually).,Do merchandising inventory and solve the comparisons if it exists.,Familiar with Great Plains accounting software and using computerized accounting software.,Manage and recognize A/Rs and A/Ps Assist in collections and invoicing procedures,,Follow-up legal issues with lawyers related with customers or others.,Make payroll reports for over 100 employees and its treatments and commissions.,Follow-up the interest values for banks loans (cash against documents, letter of credits, checks.,Expert Perform other related duties as assigned or requested.,? Excellent knowledge of Windows environment and MS Office software.,Ready to work fulltime with strong social relationship with work team and can solve problem with professional skills.,Websites developing (using hosting tools and applications),Application development using Oracle applications by JAVA and SQL languages,Skills in Designing Photos, Auto runs, Books, Covers, Procures and other.,Research about Timeliness of Accounting Information and its effect on reporting financial statements."
18,439500,Al-Balqa Applied University,Accounting,"English,Arabic","Excellent conceptual and analytical skills,Managing tasks and problem-solving skills,General business knowledge"
19,438289,Middle East University,Accounting,"Arabic: (mother language),English: (very good in speaking and writing)","Organized and Multitasked General business knowledge.,Team spirit and work under pressure,Attention to details Standards of Accounting,Good knowledge in Microsoft Excel Demonstrates ability to identify problems,Compliance and accountability.,Respond to all customers inquiries related to all types of banking loans.,Do all the calculations of financial ceilings as per customers requests.,.Purchase customers outstanding commitment to other banks and other financial services entities."
20,568132,"Mutah,University of Mutah,NEW ORTHODOX SHOOLS","Accounting,Business Administration - Accounting","English,Arabic","Auditing of Accounts in highly technique . Analysis and comparison of financial ratios Creates and auditing to the finance Statements Attention to Details Interpersonal skills organizational skills Excellent time management Management Proficiency within internal departments for company Skills of customers Services & Supplier in a good management Presentation Skills in Analyzing Information,Summarizes and Auditing financial status by collecting information; preparing a balance sheet, profit and loss, and cash flows change in equity. Checking & Audit the cycle of process for; 1.AP ( Matching in three ways: Invoicing, Purchases Orders, Receiving Reports) 2.AR (Matching Credit Practices. Invoicing Customers. Tracking Payments Received and Payments Due) 3.Management of Cash (Matching Cash Forecasting, Cash Disbursements and Cash Receipts, Check Receipts, Bank Statement Reconciliation. 4.Procurement Process ( checking Recognition, Purchase Requisition, Requisition review, Solicitation process, Evaluation and contract Order management, Invoice approvals and disputes, Record Keeping.5. Fixed Assets ( Check on & Analyse report on these fixed assets. This work includes: recording the cost of tangible and intangible fixed assets. accounting for the disposal of fixed assets whether through a sale or at the end of their useful life ""From A to Z"". Calculations and checking of financial ratios during the year and their comparability with the same period of the previous year. . Matching legal challenges by complying with IFRS requirement Prepares and records asset, liability, revenue, and expenses entries by compiling and analyzing accounting formation. Maintains and balances subsidiary accounts by verifying, allocating, posting, reconciling,transactions; resolvingdiscrepancies. Maintains & Checking general ledger by transferring subsidiary accounts; preparing a trial balance; reconciling adjustments entries. Produces payroll by initiating computer processing; printing checks, veri"
21,519885,"University of Jordan,University of Jordan",FINANCE,"Arabic - Native,English - Very good","Accounting.,MS Office(Excel, Visio, etc). (Expert),SQL Server (Advanced)"
22,409245,University of Jordan,Accounting,"Arabic: Native (mother language),English: Good (speaking, reading and writing)","Accuracy,Communication skills,Leadership,Positive attitude,Strong Work Ethic,Team work,Creativity,Customer service,Microsoft Office,Work under pressure,Accounting skills,Time management"
23,441182,"Fatima Al-Zahraa secondary school,Yarmouk University,Yarmouk University","Finance and Banking Sciences,Finance and Banking Sciences","Arabic ? Native language,English - Very good","Database operation: Microsoft Office Access.,Statistical operation: SPSS, STATA, EVIWES."
24,500266,"al-Bayt University - Mafraq, Jordan",Finance and banking,"Arabic (Mother tongue),English (Proficient)","Communication Skills,Research and Analysis,Data Collection and Analytics,Microsoft Office Suite (Excel/Access/Word/etc.),Financial Modeling"
25,407939,"Tareq bin Ziad secondry school,,Philadelphia university,",Accounting Bachelor,"Arabic,English","Team spirit, work commitment.,Willing to accept responsibility and challenges.,Enjoy working in both team environments and independently,Communicative ability and open-mindedness,Fast adaptation to work in multicultural environments,Experience in working with Middle-Eastern cultures,Patient, ambitious, diligent and sympathetic"
26,448425,German Jordanian University,"International Accounting,Management Sciences and Finance Student","Arabic,English,German","Ability to work under pressure,Decision making,Adaptability,Leadership skills,Time management,Self-motivation,Microsoft Office (Excel, Word, PowerPoint),Oracle,SAP R3 initial experience"
27,567192,"The Open University/ UK,Arab Open University/Jordan",BUSINESS ADMINISTRATION AND MANAGEMENT,"ARABIC,English","Reading Books and doing workouts are things that I do out of love. I like going to the gym before work to get fit healthy and enthusiastic to start my day. Since communicating with others is an essential part of my day I like being in an environment where I can work with team. The books I read improves my knowledge in general life and specifically in business field. I am a dependable person who is great at time management, I work with the team to provide imaginative solutions for our customers. Im a fast learner and Im always ready for a new adventure!,MICROSOFT OFFICE,ANALYTUCAL SKILLS,TIME MANAGEMENT,PROBLEM SOLVING,RECOMMENDATIONS,PUBLIC SPEAKING"
28,568721,The Hashemite University,Accounting,Unknown,"Make Daily cash and Visa Transaction andReconciliation.,Organizing the work process for employees of the customer accounting department.,Make Daily Sales Reports to Accounting departmen,Accuracy, honesty and clarity in financial transaction.,Flexible and learnable personality.,Ability to Organize and Fast adaptation to the Company Work Environment.,Strong Personal Communication Skills."
29,569209,The University of Jordan,Accounting,"Arabic - Native speaker,English - Excellent","Highly competent in MS Office.,Strong communication skills.,Capable of working independently or as a part of a team.,A self-motivated, dynamic learner.,Communicate effectively with clients."
30,560826,Irbid National University,Business Administration,English-Intermediate,"Welcomed and attended to the needs of the customers including taking orders and serving,Operated the cash register and provided receipts and change to customers,Monitored the bakery inventory and added items to the display case as needed,Balanced register at the end of shifts,Assisted customers by providing information and answering questions.,Time Management "" Leadership,Client Database Management,Teamwork"
31,437745,Philadelphia university,English Accounting,"Arabic - MOTHER TONGUE,British English - GOOD","track down people who owe money from overdue bills. . and negotiate payment.,effective communication with customers,time management,excellent research and growth abilities,Analytical and extensive skill,Racing with high technology stuff"
32,568436,Yarmouk University,Accounting,"Arabic,English","Work under pressure,Responsibility,Solving Problem,Team work,Time Management"
33,554413,Unknown,Accounting,"Arabic Level: Native Speaker,English/Level: Intermediate","problem- deductive reasoning, mathematical, and,PUBLIC SPEAKING / Level: Expert,Executive/Level: Intermediate,Teamwork/Level: Expert,Microsoft excel / Level: Expert,inbound/Level: Intermediate,customer service / Level: Expert,outbound/Level: Intermediate,telemarketing / Level: Intermediate,accounting/Level: Intermediate,Customer Relationships Officer / Level: Intermediate"
34,456183,Al Ahliyya Amman University,Accounting,"ARABIC,ENGLISH","Hard work.,Team work.,self and fast learning.,problem solver.,time management.,Good communication.,flexibility.,Excellent user of the PC and its applications. (Microsoft Word, Power Point, etc.),Excellent user for Social Media (Facebook, Twitter, etc.)"
