,CANDIDATE_REF_NUM,UNIVERSITY,EDUCATION,LANGUAGES,SKILLS
0,819733,The Hashemite University,Economy,"Arabic (mother language),,English (Good)","Project management.,Strong decision market.,Excellent Communication skills.,Teamwork Spirit.,Work under pressure,Microsoft office, Internet, Outlook."
1,854662,Unknown,Computer and Network Engineering,"ARABIC: Native Language,ENGLISH: very good","Technological skills,Microsoft office,Use C++ program,Communication,tableau,packet tracer"
2,865741,Al Balqa Applied University,Accounting,"Arabic Native,English - Advanced","Microsoft Excel,Microsoft Word,Microsoft PowerPoint,SAP"
3,811632,YARMOUK UNIVERSITY,Business Administration,"Arabic : Native Language .,English: Very Good","Networking Skills, quick learner, social Person, team- worker, serious, flexible, fashionable, excellent communications skills.,Excellent in Microsoft Office Communication Skills & Teamwork. Personal Effectiveness & Time Management Leadership Skills."
4,783732,"Al-Balqa Applied University,Al-Hussein College Secondary School",Communication Engineering,Unknown,Unknown
5,859031,Unknown,industrial systems engineering,"Arabic: Mother tongue,English: Spoken: Very Good Written: Excellent","Quick-witted and learned,Intuitive and very observant,Ability to effectively deal with conflict,Excellent multitasking ability,Strong listening and communication abilities,Time management,teamwork"
6,791768,Al-Balqa Applied University -,Computer & Network Engineering,"Arabic: Native language,English: Conversational command reading, writing and conversation.,Deutsch: Beginner","Advanced Microsoft Office programs,Customer Service Skills,Technical report writing skills,All data Repair,Excellent interpersonal, communication, listening and presentation skills.,The ability to work both as a team and independently.,High level analysis and Problem-solving skills.,Excellent sense of planning and organization.,Advance diagnosis skills.,Outstanding work efficacy and time utilization.,Excellent problem solving and analytical skills,Excellent presentation and communication Skills.,Proper knowledge on business policies and regulations.,Professional conduct and attitude.,Strong management and leadership skills.,An understanding of budgeting procedures, methods, evaluation criteria and resource planning."
7,767124,"Yarmouk University,","Economic finance and business,Finance and Business","Arabic:Native,English:excellent","communication skills,Ability to work under pressure,Team work& Team management,Using of computer & Internet,Negotiation"
8,818186,"Princess Sumaya University for Technology,Al-Asriyya School",Network & Information Security Engineering,Unknown,Linux - Python - Networking - Bash - Programming - SQL - Cloud ? Machine Learning - Splunk ? Vulnerability Assessment
9,887233,Jordan university of science and technology,industrial engineering,"Arabic Native,English - Intermediate",Microsoft office Autocad Solidworks communication skills Leadership
