,CANDIDATE_REF_NUM,UNIVERSITY,EDUCATION,LANGUAGES,SKILLS
0,417809,al Balqa Applied University,communication technology engineering,"Arabic,English","SQL Oracle,Motivation skill,Interpersonal relationship building,collaboration and team work,Matlab,CST,Link!,Multisim,Linux,Cisco packet tracer,Microsoft Group"
1,754751,Isra university,Computer Networks,Unknown,"Teamwork,Leadership,Problem-solving.,Adaptability,protocol,Switching,Routing"
2,816934,"Australian National University,NWFP University of Engineering & Technology,Australian National University,University of Engineering & Technology Peshawar Pakistan",Communications,Unknown,"GSM network monitoring and configuration using various Network Management tools,Configuration and monitoring on Switch Commander (Release 99) interface for Siemens D900 Switches,Configuration and monitoring using NetAct (Nokia Release-4) interface for Nokia DX200 Switch and IPA2800 MGW (Media Gateway),Configuration and monitoring on Siemens NetManager for Telenors Long Distance International (LDI) Network.,Monitoring on Huawei M2000 for Huawei ngHLR,Preventive maintenance and health checks on 2G/3G RAN elements and KPI analysis,Provide support to the field engineers and technicians/vendors in the integration of new network elements as well as in maintenance activities on the current nodes.,Logging Trouble Tickets using HP service desk and HP service manager and their timely and efficient follow up till resolution within agreed SLA,Coordination with other mobile operators and roaming partners for inter network traffic testing and resolution of faults.,Service provisioning and Assurance, Troubleshooting, Customer Support"
3,683704,"Al-Zaytoonah University,",power and control engineering,"Arabic: Advanced,English: Excellent",Creative design Innovative Service-focused
4,516345,Petra University,Unknown,"Chinese,Arabic,English","dealing with Linux systems terminal (entry level),ethnical hacking using kali Linux,installing and dealing with a major computer software and hardware,SAP ERP system (SD&MM) entry level,PHP, HTML, JAVA, ASP.NET, C#, C++,Bootstrap,SQL server,Mysql,Database analysis"
5,818269,"Yarmouk University,",TELECOMMUNICATIONS ENGINEERING,"Arabic | Native,English | Very good at reading, writing, & Speaking.","Good at MS. Office software.,High knowledge in responding to social needs.,Excellent at Customer Service Management.,Good marketing skills.,High networking skills.,Excellent negotiation skills.,Punctuality and Efficiency.,Flexibility & Positive Attitude in every situation.,Responsibility.,Ability to establish & maintain good work relationships.,Self-confidence.,Problem-solving.,High Communication skills.,Excellent Time management."
6,818362,"Al-Balqa Applied University,Faculty of Engineering Technology","Electrical Power Engineering,Electrical Power Systems","Polish language,Arabic language,English language","Understanding of electrical sciences.,Circuit wiring.,Problem-Solving.,Fast learning.,Communication skills.,Troubleshooting skills and attention to detail.,Computer literacy,Electric simulation programs."
7,402260,"Al-Balqa Applied University Faculty of Engineering Technology (FET) polytechnic,Al-Quds college","Electrical, Electronics and Communications Engineering,Electrical, Electronics and Communications Engineering",Unknown,"Learning,Teamwork,Leadership,Communication,Perform IBS site survey and prepare site survey report.,Understand the IBS design and lead the implementation team to follow the design.,Supervise IBS implementation technician.,Perform daily site visits to ensure that implementation technicians are following implementation standards and quality procedures.,Prepare IBS site folder documentation.,Perform periodic reporting on the daily and weekly implementation progress.,. Coordinate with site building management for access and for work plan.,Resolving RAN Customer Complaints and ensuring the best Quality of Service for RAN elements, as well as supporting the needed coverage and capacity growth wireless networks at Zain Jordan 6th month as a trainee from Jordan Engineers Association."
8,670008,The Al-Balqa University,Communication Engineer,"Arabic: Native speaker (Mother Language).,English: excellent in communicating, reading, and writing.","Excellent communication skills and the ability to deal with different kinds of people/work on a team.,I can work under pressure without negatively affecting my work.,Strong individual performance.,Excellent Collaboration skills.,Excellent general computer skills."
9,760081,AL-Balqa Applied University,Telecommunication Engineering,"Arabic: Mother Language,English: very good","Time Management.,Work under pressure.,Teamwork spirit.,CCNA knowledge"
