,CANDIDATE_REF_NUM,UNIVERSITY,EDUCATION,LANGUAGES,SKILLS
0,791407,Unknown,Accounting,"Arabic,English,Arabic: Native language (Native proficiency).,English: Very good speaking, writing and reading (Upper intermediate proficiency).","Work well under pressure,Details oriented .,Social interaction,Mathematical reasoning .,Upper intermediate at Microsoft Office software"
1,682895,The Hashemite University,Finance and Banking sciences,"Arabic (Mother Language),English","Time Management,Microsoft Excel,Leadership,Problem-solving abilities,Communication skills"
2,736155,University of Jordan,Accountancy,"Arabic,English","Analytical skills and showing close attention to details.,Experienced in Microsoft word, PowerPoint, Excel and,Excellent communication and public speaking skills.,Problem-solving and decision- making abilities.,Strategic thinking capabilities.,Teamwork and interpersonal skills."
3,795993,Al al-Bayt University,Accountancy and Business Law,"Arabic,English","Computer and Microsoft Office skills (Word, Excel, Outlook, PowerPoint).,Communication skills - Excellent communication skills gained through my experience of working as a coordinator at a culture center with different backgrounds and cultures.,Flexibility in communicating with people- through my experience working in the service and tourism sectors,Organizational/managerial skills - Good organizational and evaluation skills gained through my experience in working in a culture center by organizing the events, workshops, and courses through organizing plans and organizing implementation, follow-up, and evaluation process.,Flexible. - Able to Operate Under Pressure. - Detail-oriented. - Quick Learner. - Able to Build Relationships. - Computer and Internet Skills. - Organizational Skills. - Multi-tasking"
4,407675,Hashemite university,BSc in Accounting,"Arabic,English","work under stress,Work in teams,Problem solving,Flexibility,Computer skills,Technical skills,Microsoft office"
5,442844,"Hashemite University,Greek Catholic Girls School",Accounting,"Arabic,English","Solving problem.,Attention to details.,Quick learning and hard working.,Dealing with the Internet and Social media.,Excellent communication skills and able to relate to people from all social backgrounds.,Time management.,Creativity and Adaptability.,Microsoft Office word,Microsoft Office Excel,quick books,CaseWare"
6,680475,Al-Balqa Applied University,English Language and Literature,"English,Arabic","Knowledge at English Language,English (Reading, Writing, and speaking) well,Arabic (Native),Quick learner and ability to work under pressure,Ability to work in a team and under pressure,Ability to handle multiple tasks"
7,803511,Al Balqa Applied University -,Accounting,"Arabic,English","Teamwork,Problem Solving,Time Management,Adaptability,Multitasking,Quick Learner,Microsoft Office,QuickBooks (Accounting Software),GIMA (Inventory System),JD Edward (ERP System),Oracle (ERP System),Microsoft Dynamics NAV (ERP System)"
8,897079,"Middle East University,",Accounting,"Arabic Language: Mother Tongue,English Language: Excellent level in speaking, listening, writing, and reading","Analytical as well as process oriented,Good accounting skills,Strong problem-solving skills,Detail-oriented and organized,Excellent communication skills,documentation skills, research and resolution skills, data analysis and multi-tasking skills,Strong Knowledge of Canias ERP systems (www.canias.com),Strong Knowledge of Focus ERP systems"
9,410335,"Mutah University,",Accounting,Unknown,"Have the ability to communicate clearly and concisely,Good Communication skills,Able to work under pressure,Self-motivated and fast learner,Extensive knowledge on the use of the Microsoft Based Applications (Word, Excel, PowerPoint),Flexible and can carry task in an efficient manner"
10,803190,"Istanbul Aydin University.,The Hashemite University.,Al-Salt Academy School.",Accounting,"Arabic,English,Turkish","The ability to use your own initiative.,Analytical thinking and attention to detail.,The ability to work effectively on your own and as part of a team. Strong,ethical standards and high levels of integrity.,The ability to think objectively and demonstrate sound judgement. Excellent,critical thinking and problem-solving skills."
11,902688,Al-Ahliyya Amman University,Accounting,"Arabic, Native,English, Fluent,Spanish, Conversational","General ledger skills,Computer skills,Accounting skills,Accounting techniques,Calculations,Budgeting skills,Cash flow management,Balance reconciliation,Mathematics,Data processing,.,Cost analysis,Cost reduction,Accounting standards,Financial management skills"
12,797139,JORDANIAN UNIVERSITY,Industrial Engineering,"Arabic (Mother tongue).,English (Excellent speaking and writing).","Excellent skills in Microsoft (Excel, Word and PowerPoint).,Excellent skills in design and modeling software such as, AutoCAD, Rockwell Arena and Creo,Good skill in statistical analysis tools such as Minitab and SPSS,Time management and follow up skills.,Written and verbal communication, presentation and analytical skills.,Persistent, hardworking and a strong ability to learn."
13,499842,"University of Jordan.,University of Jordan","Industrial Engineering,BSc in Industrial Engineering",English,"Experienced in using data analysis & visualization tools: SAS Visual Analytics, SAS EG & Power BI.,Experienced in utilizing MS Office programs. Excel, Word, PowerPoint & Outlook.,Skilled in analyzing & visualizing data.,Effective communication, organizational & administrative abilities.,Excellent interpersonal skills, confidential, easy going personality & excellence commitment in addition to fluency in English (Written & Spoken)."
14,485815,Al-Balqa Applied University,Industrial Enginerring,"Arabic: (Native Language),English: (Fluent)","Comunication,Team Work"
15,679675,Mutah University,English language and literature,"English,Arabic.,English.,French,Arabic,English,french","Strong presentation and communication skills.,Excellent communication, writing skills in English, including the ability to successfully manage and deliver highly technical reports.,Energetic and high social personality.,Excellent organizational skills.,Experience in facilitating, chairing meetings and workshops.,Self-motivated and able to work both independently and as part of an active team.,Management experience: high leadership, problem solving, project management skills and strategic decision making.,Demonstrated experience in project management, implementation and staff supervision.,Excellent experience with international organization and projects.,Hard worker and able to perform under pressure.,Computer skills (GIS, Word, Excel, Power point).,Computer skills (outlook, basic system).,Hard working,Punctual,Active,Loyal to work,-Ability to work in groups,Work under pressure,Good Research Abilities,Self Motivated,Good communications with people,Reading books.,Writing novels.,Surfing the internet.,Drama, both acting and directing.,Regular volunteer at a local center for the homeless.,Microsoft excel: very good,word excellent,Outlook good"
16,901202,School of Business - Al Ahliyya University Jordan,Marketing,Unknown,"Provide guidance,Sales,Public relations,Communication,Microsoft Office,Social media,Marketing,Public Relations,Portfolio Mangement,Investment Development,Freelancing,Trading in Currencies and Indices.,Doing short-term and long-term market analysis.,Convincing clients to manage their portfolios and giving them a clear expectations and signals about the markets."
17,493576,University of Jordan,Industrial Engineering,"Arabic,English","Working on the Integrated Management System (IMS): ISO 9001:2015, ISO 14001, and ISO 22001.,Completing research and consultancy tasks on projects to time and budget.,Assist the senior consultant in coordinating fieldwork for assignments.,Conducting desk research, data collection and analysis.,Drawing flow charts and data flow diagrams."
18,886518,Yarmouk University,Accounting,"Arabic (native),English (Professional)","Accounting,Auditing,Customer Service,Sales Retail,Problem Solving,Research and Development,Project Management,Time management (accurate compliance with deadline),Communication (verbal & written),Managing relationships/networking,Planning & organization,Ability to analyst issues & find solutions,Ability to adapt to changing work (systems & rules),Ability to prioritize,Self-motivation,Team work,Detail-oriented,Flexibility,Energy,Creativity,Microsoft (SQL, excel advance, power point, word, one drive, Desk pro & Outlook) System (SAP, Beeline, IQN, Pro wand, ERP, Bullhorn, Jira, Simplify, Work day)"
19,469381,"University of Jordan,University of Jordan",Business Information System,"Arabic: Native Language,English: Reading, writing, speaking. < Good>","Excellent in dealing in computer programs,Very good knowledge of computer maintenance"
20,604098,"University of Jordan,Al Balqa applied University,Al-Umariah School","finance,Finance,Accounting Information System","Arabic,English","Bank Account Reconciliation,Reporting Analysis,General ledger entry and,Advanced Excel ability,maintenance,Attention to details,Corporate Finance,Financial Analysis,Knowledge of trade credit terms,SAP S/4HANA,Awareness of cash conversion cycle,Invoicing & Book Keeping,Accrual Accounting"
21,682017,IBalqa Applied University,Information Systems,"Arabic,English","Management Skills,Social communication - group work - individual work - how to withstand work pressure.,Communication Skills"
22,889751,The University of Jordan - Amman,Accountancy: Accounting,"Arabic,English","Account management and updating,Very Good,Account reconciliations knowledge,Very Good,Team Work Skills,Very Good,Critical Thinking,Problem Solving,Decision Making"
23,679448,University of Petra,Accounting,Unknown,"Hard work Persistence,Leadership Achievement-oriented,Online buying and selling,Delivery"
24,471957,Hashimate University(in JORDAN)*,"Bachelor in Computer science, 2020","Average level in English, both writing and speaking,Fluent in Arabic, both writing and speaking","Computer skills (technically),Working with servers, VPN, and Virtual machines,Efficient both individually or within teams,Can use time productively,Ability to demonstrate courtesy and helpfulness in dealing with staff,Punctual"
25,796929,"Philadelphia university,Arab community college",financing and banking,"Arabic: excellent (native language),English: excellent (reading, speaking & writing)","Microsoft office Processing,Soft Presentation,Outlook Express,Spread Sheet,Excel Analysis,Database Management (Finn one/SAP/Bwise),Financial Analysis Tools,Statistical Tools,Internet"
26,903164,University of Jordan,Accounting,Unknown,Unknown
27,684003,Albalqaa applied university amman college,finance and banking,Very good in English,"good communication,Self motivated,Flexibility,Very good in Microsoft Office,Very good in accounting / mathematics quantitative analysis,Multitasks Patience"
28,682066,جامعة مؤتة,محاسبة,Unknown,اجيد استخدام الحاسوب
