,CANDIDATE_REF_NUM,UNIVERSITY,EDUCATION,LANGUAGES,SKILLS
0,792572,University of Jordan,computer engineering,Unknown,Unknown
1,808644,University of Science and technology.,Telecommunications,"Arabic,English","Good communication skills,Quick learner creative,ability to work in team,An analytical mind,Strong documentation skills Commercial awareness"
2,772077,Yarmouk University - Hijjawi faculty for engineering technology,Electronics Engineering,English,"Safety inspection for workers at schools and directors to check the performance of the HSE committee.,Site Engineer at Umniah PH.11 Project by HUAWEI-Jordan. ? Install new, swap and upgrade RTN MW links - 1+0 unprotected, 1+1 HSB, 1+0 & 2+0 XPIC -. The installation of dishes, OMT, RF -ODU-, earth cables IF cables and IDU with power and earth cables must be as standers and not to affect the work of any other device at the site or the installed devises itself. Configure the MW link and then do the alignment to achieve the target RSL and XPD value. But the standard label for the new installed MW links from both sides to facilitate maintenance works. Check the HSE for the working teams and make sure that they use approved PPES. Check the quality of the MW links installation and make sure that installed as standards and doesnt affect the safety of other workers.,Clearly understands and articulates day-to-day tasks.,Displays effort and commitment to achieve results in an efficient and effective manner.,Works independently with limited direction in carrying out routine assigned tasks and projects.,Perseveres through various working conditions to complete tasks and projects.,Fluent language skills in English, both spoken and written are an absolute requirement.,MS Office.,AutoCAD.,MATLAB.,WebLCT.,PIC C compiler. - Protues.,The ability to administer routers, switches, gateways and oversee telecom infrastructure including the wide-area network (WAN) and local area network (LAN), as well as wireless LANs.,Cabling skills, including familiarity with cabling standards.,Cross-platform telecom systems skills.,The ability to implement quality of service (QoS) features.,Ability to implement and supervise installation, commission and testing independently (including survey and acceptance).,Strong troubleshooting skills.,Conducting tests and inspections of products, services, or processes to evaluate quality or performance.,Considering the relative costs and benefits of potential actio"
3,407054,"Bhagwant University,Alneelain University","Electronic andcommunication Engineering,Telecommunications Engineering","Arabic,English,Arabic Level: Expert,English / Level: Expert","Rf Drive Test Engineer,Drive Test and Survey,Spectrum Engineer,spectrum Management and monitoring,-interference detecting,-allocating illegal transmitters,-regular scanning of frequency spectrum.,SCANNERS/Level: Expert,CUSTOMER SERVICE / Level: Expert,LANGUAGES / Level: Expert,MICROSOFT POWERPOINT / Level: Expert,MICROSOFT WORD / Level: Expert"
4,785948,"Al-Ahliyya Amman University,",Networks and Information Security,"Arabic,English","Qualified in CCNA and CCNP Security,Troubleshooting,Linux,EVE-NG,Virtualization,Programming Languages,Splunk SIEM Solutions,Team Work,Public Speaking,Organized,Analytical thinker,Ever-learning and evolving"
5,809121,Al-Balqa Applied University/Amman College for financial,Unknown,"Arabic (Native),English (Very good)","Responsible, self-learning, hardworking, reliable and able to work hard under pressure,Confidence, team leadership, team work, social person,Ambitious and adaptable to any situation for the job interested,Attention to detail, good listener to advice and ideas,Excellent knowledge of computer systems: MS .Windows, MS Office (Excel, Word,)."
6,791768,AL-BALQA APPLIED UNIVERSITY,Computer & Network Engineer,"ARABIC,ENGLISH,DEUTSH","Responsibility, creativity thinking and hard worker,Leadership, team work and multi-task,The ability to follow instructions and deliver quality results"
7,767124,"Yarmouk University,","Economic finance and business,Finance and Business","Arabic:Native,English:excellent","communication skills,Ability to work under pressure,Team work& Team management,Using of computer & Internet,Negotiation"
8,407549,ISRAA UNIVERSITY,COMMUNICATION AND ELECTRONICS ENGINEERING,"English: Excellent,Arabic: Mother tongue","AAA/Cisco Routers, Switches and Nexus,Cisco Identity Services Engine (ISE),Cisco AnyConnect Posture and NAM,RADIUS and TACACS,Dot1x, MAB and MACsec,pxGrid, BYOD, Guest,Profiler and MDM,Digital Subscriber Line Access Multiplexer (DSLAM),Asymmetric Digital Subscriber Line (ADSL)"
9,522451,Jordan University of Science and Technology,Computer Information Systems,"Arabic: Excellent Writing and Speaking,English: Excellent Writing and Speaking","JavaScript ? ? C++ Networking, CCNA Knowledge ? PHP ? Oracle SQL ? Microsoft Office"
