,CANDIDATE_REF_NUM,UNIVERSITY,EDUCATION,LANGUAGES,SKILLS
0,692123,University of Khartoum,Computer Science,"Arabic: fluent,English: very good and in progress,German: in the beginning","SQL skills,Oracle DB,Familiar MS visual studio and visual basic,Html5, asp.net, JavaScript, CSS,Very good in team work projects,Initiative with Problem Solving abilities in problematic situations,Ability to work under pressur,Excellent work in Microsoft office,SharePoint 2013 planning and administration,Designing and drawing,Adobe Photoshop"
1,414117,Jordan University of Science And Technology,"Electrical Engineering, Telecommunication Engineer","Arabic: Native language,English: Proficient C2","Strong and professional Customer support,Strong in troubleshooting,Attention to Detail,Love to gather new skills and knowledge,Inspired, motivating and willing to take leadership,Well knowledge in Microsoft tools,Verbal and written Communication"
2,735407,Philadelphia University,Civil Engineering,"English,Arabic","Confidence,Excellent interpersonal skills,Microsoft (Excel, Word, PowerPoint),IT skills,Highly creative,Analytical thinking,Leadership skills,Negotiation skills,Time management,Problem solving,Teamwork,Passion for Learning"
3,739129,Yarmouk University,"Business Administration,Marketing","Arabic - Native,English ? Fluent,Italian - Conversational","Business Development and Sales,MS Suit certificates from Microsoft,Reports writing proficiency,Efficiency functioning skills,Analytical skills,Attention to details,Managing customer relationship,Leading others."
4,742401,Philadelphia University,BACHELOR OF BUSINESS ADMINISTRATION,"ARABIC-NATIVE SPEAKER,ENGLISH-INTERMEDIATE","Active listening,Leadership,Time managemen,Management skills,Communication,Customer service"
5,721958,"Philadelphia University, Jordan",B.SC. In Accounting,Unknown,"Expert level in Microsoft office suite especially Excel.,Massive knowledge in operating different computer application.,Ability to communicate with people at all levels.,Ability to work under pressure.,Co-workers count on me to look at things analytically.,Self-confidence, with leadership personality.,Time and resources managing skills.,Good command of management and communication skills."
6,730421,"Al-Balqa Applied University / College of Engineering Technology,Al-Balqa Applied University/College of Engineering Technology","Communications Engineering,Computer and Network Engineering","Arabic language,English language","work under pressure,HTML,javas cript,teamwork,Tolerant"
7,689109,Al-Balqa applied University,communication Engineering,Unknown,"Good Communication & presentation Skills.,A good Researcher.,Computer Skills: have a good knowledge at Microsoft offices.,Team work.,Problem solving.,Decision Making.,Autonomous with the ability to work under pressure.,Good reporting, Negotiation, Initiative skills.,Good info on Linux and MYSQL [Self Study]"
8,711829,"AL Zaytoonah University,AL Zaytoonah University","Accounting,Finance","Arabic: Native Language.,English: Intermediate in all skills.",Auditing. Preparing financial reports. Credit and cash transactions. Training and mentoring. Effective customer upselling. Creative and flexible when necessary. Communication skills. Microsoft Excel. Microsoft word.
9,695915,THE HASHEMITE UNIVERSITY,Risk Management And Insurance,Unknown,"Details-oriented, efficient and organized,Computer skills: Microsoft office (Excel, word and powerpoint), XRM, CRM system,Financial analysis using five forces, financial ratios analysis and evaluation for the company stock price using DCF, DMM and price multiple."
10,735625,Petra University,Software Engineering,Unknown,"Team Leader, fast learner hard task, good attitude, flexibility customer friendly respect all business rules and ethics"
11,739142,"University of Jordan,",Computer Engineer,"Arabic: Native,English: Reading (excellent), writing (very good) and conversation (very good).","Android Studio,Data Structure.,C++,Arduino,Data Base,Networking,Java"
12,696316,The Hashemite University,Risk Management,"English: Good,Arabic: Mother Tongue","Excellent verbal communication skills and interpersonal style,Proven ability to work under pressure in a fast paced, time sensitive environment,Demonstrated ability to use initiative/judgment to solve job related issues,Strong problem solving capability,Working knowledge of Microsoft Word, Excel and Power Point.,Self-motivated individual capable of taking ownership and working independently,Tolerance for stress in a fast paced working environment.,Excellent planning and organizing skills,Good team player"
13,448006,"AL Zaytoonah University,AL Zaytoonah University","Accounting,Accounting","Arabic: Native (tongue language),-English : Excellent (speaking, reading and writing)","Team work,Individual work,Work under pressure,Office work,Self-Motivated,Hardworking.,MS Word, MS Excel, MS Works.,Internet.,Accountant"
14,692644,Hashemite University,Computer Engineering,"English,Arabic",Unknown
15,674759,"IIPM,IIPM","Planning and Entrepreneurship,Human Resource,Marketing",Unknown,Unknown
16,686386,"Al al-Bayt University, Mafraq, Jordan",Finance and banking,"Arabic,English,French,Spanish","Microsoft office(Excal,word),Spss software,Communication skills,Solving problem,Leadership,Active listening,Public Speaking,Marketing,Customer Needs Analysis,Data Entry,Lead Prospecting,Welcoming Visitors,Management skills,Time management,Interpersonal skills,Teamwork,Computer skills,Contract Negotiation,Billing,Calendar Management"
17,740809,"Faculty of Engineering Technology, Al Balqaa Applied University",Telecommunications Engineering,"Arabic,English","Supervision for all power calculation such as Generators capacity, power transformers, DC systems, power cable, lighting and solar cells).,Responsible for make a commissioning for Rectifiers, ACs and HVAC (programming and testing).,Supervision for most kind of Rectifiers (POWERONE, ELTEK, DELTA HUAWEI, SEIMENS, EATON, EMERSON).,Performed EM Preventive and Corrective Visits for the sites.,Shelter Alarms installation, testing and troubleshooting.,ATS panel installation.,HVAC system troubleshooting.,Fire system troubleshooting.,Rectifiers configuration, commissioning and troubleshooting.,MDB Connections and testing,Sites visits for new PAT activities.,New sites rectification visits.,Kilani Medical Institute (Electrical installation supervision).,Jundeieh Mall in Aqaba (Electrical installation supervision).-,Al Balqaa Applied University the New Building (Electrical installation designing).,Islamic College School the New Building (1 installation designing).,Prepare and implement the Survey for the new sites.,Apply Drive Test for the network and clear the calls drop and the noise by using TEMS investigation tools and align with OMC department in the correction.,Very hard worker, work under pressure.,Fast learning and interested in any training courses.,Relationship building and flexible in communication.,Business development skills,Cost and Budget estimation and control.,Multi-Unit operation managing.,Very good in negotiation and conflicts solving.,Properly aligns responsibility, Accountability, and Authority."
18,473307,Jerash Private University,Banking & Financial Sciences,Unknown,"Customer Relation Management,Negotiating skills,Marketing and sales Skills,Communication Skills,Leadership Skills"
