,CANDIDATE_REF_NUM,UNIVERSITY,EDUCATION,LANGUAGES,SKILLS
0,414112,Al-Balqa Applied University/,"Civil Engineering,Civil Engineering",Unknown,"Problem-solving,Working under pressure,Communication skills,Time Management,Customer Service,M.S Office,Organization skills,Photoshop,Willingness to learn,Driving license,Teamwork"
1,677574,Philadelphia University (Jordan),ACCOUNTING,"Arabic (Native),English (Very Good)","Hands on problem solver showing initiative detection and ability to work as a team player.,Good organization skills, able to priorities work and man- age time effectively.,MS Office,IELTS Certified,JDE ORACLE ERP SYSTEM,Work Flexibility & Adaption"
2,726605,Unknown,Financial & Banking Management,"Arabic - native language,English - good speaking and Written","Microsoft office (Word, Excel, power point, Access) ICDL Good internet user,Flexible, able to adjust to new people and situation.,Have a great ability to convince all different type of clients.,Willingness to work effectively and efficiently.,Presentable, energetic and self-motivated.,Social, organized and cooperative.,Able to work under stress conditions.,Confident & strong personality.,Excellent communication and interpersonal skills."
3,722368,"Yarmouk University,Yarmouk University","Accounting,Accounting","Arabic,English","Leadership,Communication,Ms Office,Decision Making,Self-motivation"
4,687160,The University of Jordan,Economics business,"Arabic: Native language.,English: Very good.","Microsoft excel basic & intermediate,Social media,Training of Training,ICDL,Ana Usharek & Usharek plus,Familiar with all Microsoft Office applications, with good knowledge in Excel, and use the internet and email regularly.,Strong interpersonal and communication skills.,Efficient and accurate.,Team player.,Ability to take initiative"
5,735071,University of Jordan,Business Economy,"Arabic,English","Excel,Eviews,Spss,Word,PowerPoint"
6,646960,University of Petra,Nutrition,"Arabic,English","Provide limited advice to promote health, manage diseases, and cope with allergies.,Answer patients questions regarding food and health.,Built meal plans with ideal life changes to support wellness.,Excellent social media and web browsing skills,A hard-working person,Excellent communication skills,Extremely driven and committed,Organized with excellent time management,A quick learner,Self-motivated"
7,724328,"University of Debrecen - Hungary,Zarqa University - Jordan","Civil Engineering,Engineering Management","Arabic,English,Hungarian","Global Operations, Supply chain procurement, Logistics, Complex negotiations, Problem solving, Project strategy, Risk, Technology, Quality, Six sigma, Business, Communication, Self-development, Drawing, Food, Music.,Identifying customer needs and helping them using specific features.,Managing construction projects,Supervising workers,Designing and creating model blueprints,Filing paperwork,Liaising clients, contractors and subcontractors,Overseeing building works,Ensuring quality, qualifications and budget criterias,Qualified as an Engineering Manager.,My major provides hands-on experience in the field of technical management of industrial and corporate firms.,Standardization.,Logistics Management.,Risk Management.,Process Improvement.,Lean Management.,Economics.,Process Engineering and Management.,Human Resources Management.,Project Management.,Microsoft Office.,Google Suite: Sheets, Docs, Slides, Forms,Primavera,Enterprise Resource Planning (SAP ERP),AutoCAD,CCNA knowledge"
8,415963,University of Jordan,Industrial Engineering,"Arabic (Mother tongue),English (Advanced)","Adaptability,Quick learner,Time management,Organization,Leadership,Teamwork,? Critical thinking,Creativity,Self-motivated,Excellent oral and written communication skills,Advanced computer skills (Microsoft office and engineering programs)"
9,734710,American University of Madaba,Risks Management,"Arabic Mother tongue,English Fluent","Microsoft office programs,Accuracy,follow up all tasks untill completing them,teamwork,Ability to solve problems"
10,728392,Al Al-Bayt University,Business Administration,"Arabic: mother tongue,English: good","Excellent communication skills.,The ability to work under pressure and for long time. .,High drive for Achievement.,High sense of responsibility towards work with leadership skills . .,Strong knowledge of MS Office."
11,722032,"University Of Leicester, UK,Yarmouk University, Jordan","Business Administration,Electrical Engineering Bachelor",Unknown,"Problem Solving,Analytical,Critical Thinking,Interposition,Detailed-focused,Leadership,Organized"
12,674955,Unknown,Unknown,Unknown,"Logical Problem-Solving Mind.,Able to Lead and Motivate a Team.,Quick Assimilation of New Concepts and Ideas.,Project Management and Good Time Management Skills.,Motivated, Self-Disciplined and Able to Work on Own Initiative.,Excellent Listening, Verbal and Written Good Communicative Skills.,Familiar with Risk and Time Management Issues.,Very Interested in Mechanical Installation Equipment.,Very Good Knowledge of Health and Safety in the workplace.,Very Interested in Industrial Production Engineering Systems.,Familiar with Hydraulics Lifting / Uploading Industrial Equipment.,Familiar with Sub-netting and Routing Protocols.,Interested in Mobile Systems and Wireless Technologies.,Incredibly good knowledge of Network Environments and Equipment.,Familiar with Computer Installation, Maintenance and Troubleshooting."
13,721789,American University of Madaba,Arts in Risk Management,Unknown,"Emergency Response Management (ERM),Credit and Operational Risk Management,Insurance risk management,""Disaster, Emergency, and Crisis Management"",corporate governance,quality management systems,Microsoft Office,Customer Support,satisfaction"
14,567423,"THE HASHEMITE UNIVERSITY,AL-BALQA APPLIED UNIVERSITY","Accounting and Finance,Accounting","Arabic,English,Spanish","Data Analysis, Aviation Resolutions, BSP, CARGO, SAP Accounting, SAP Procurement, Salesforce System, Microsoft Excel, Microsoft Power BI, Accounts Payable, Financial Review, Financial Statements, Management Accounting, Bank Reconciliations, Risk Assessment, Risk Mitigation, Financial Analysis, Team work, Innovation, Team leadership, Compliance,Data Analysis, Microsoft Excel, Microsoft Power BI, SAP Accounting, SAP Procurement, Salesforce System Aviation Resolutions, BSP, CARGO, Analytical Skills, Customer Service, Team leadership, Compliance Accounts Payable, Financial Review, Financial Statements, Management Accounting, Bank Reconciliations, Risk Assessment, Risk Mitigation, Financial Analysis, Analytical Skills"
15,729346,Jordan University of Science & Technology,Unknown,"Arabic,English","AutoCAD 2D,3D 2008,,Data analysis (excel and woka),,Managing and coordinating The QA Team,Occupational Health & Safety Supervisors,Professional Level in Microsoft office package inducing MS Project,Quality Control & Safety Engineer,Solid works 2D,3D 2010,,Statistic for quality control,"
16,722824,Amman Ahlyyia University,Electronics & Computer Engineering,"Arabic, English, German","Experiences: QA/QC Management, QHSE Supervision, Internal Auditing, Project Coordination, Project Engineer, Electrical, Instrumentation, Communication & Networking Engineering.,Proficiency in QMS, QHSE Management,Proficiency in Internal Auditing in different firms,Proficiency in E&I, MEP, Oil & Gas Projects, refineries, and tank farms,Proficiency in Project Engineering in different firms.,Proficiency in handling the deals and resolving the issues.,Capable of handling full financial affairs and internal audit requirements.,Capable of supporting and coordinating with the legal department.,Strong communication, interpersonal, learning, and organizing skills matched with an ability to manage stress, time, and people effectively."
17,729771,AMMAN AHLIYYAH UNIVERSITY,BUSINESS ADMINISTRATION,"Arabic (Mother Tongue),English","Process Improvements,Staff Management,Problem-Solving"
18,728910,Jordan University Of Science And Technology,Industrial Engineering,"Arabic,English,French","Quality assurance,Quality Standards,Auditing/ISO/ Regulatory Requirements,Risk Assessments,First Aid/CPR,Health & Safety Management,Team management,Process improvement,Planning,Training,MS Office,AutoCAD,SolidWorks,Oracle,Minitab"
19,736155,University of Jordan,Accountancy,"Arabic,English","Analytical skills and showing close attention to details.,Problem-solving and decision- making abilities.,Experienced in Microsoft word, PowerPoint, Excel and,Excellent communication and public speaking skills.,Teamwork and interpersonal skills.,Strategic thinking capabilities."
20,721741,The Hashemite University of Jordan,Economics,"Arabic - Mother Language,English - Fluent,Arabic - Mother Language,English-Fluent","Knowledge of industry,Computing skills,Communication skills,Problem-solving,Attention to detail,Documentation and organization skills,Knowledge in risk analysis,Investigative skills,Quantitative analysis skills,Knowledge of industry,Computing skills,Communication skills,Problem-solving,Attention to detail,Documentation and organization skills,Knowledge in risk analysis,Investigative skills,Quantitative analysis skills"
21,722981,Al-Zaytoonah University of Jordan,Finance and Banking Sciences,"Arabic-native,English - Excellent","Microsoft Office.,Time Management.,Problem solving.,Communication.,Teamwork."
22,696018,University of jordan,Industrial Engineering,"Arabic,English","A fast learner,Strong personal communication skills,The skill of adapting to new situations and challenges,Works well under pressure,Own a car with excellent driving skills"
23,735616,"Modern Montessori School, Khalda,Applied Science University, Shafa Badran",Unknown,"English,Arabic","CIRM,CII,MS Office Package,Elite Accountant,Football,Other Sports,Outgoing,Socializing,Adventurist"
24,424880,Philadelphia University-,Accounting,"Arabic, English.","Certificate ISO 31000 Leadership Risk Manager- PECB.,Certificate AML/CFT Auditor- AIPS,Certified Business Professional Executive (CBP)- IBTA,CIA-1 Training course.,Operation Risk Training Course.,CMA Training Course,Financial & Legal Expert.,Certified Customer Service- International.,Certified Business Etiquette- International.,Certified Sales.,Certified Business Communication.,Certified Leader Ship- International.,Measurement and management of operational risk.,Best Practices in Internal Audit Planning"
25,725567,University of Dijlah,Unknown,Unknown,Unknown
26,722460,"Jordan University Of Science And Technology,Ministry Of Education",Civil Engineering (Construction and Buildings),"Arabic,English","Organized and detail-oriented,Leadership and Project management,Strategic and business management,Technical project management,Project workflow management,Construction management, surveying and equipment,Negotiation and Team building,Analytical problem solving and Engineering support,Risk management and Analytical decision-making skills,Building codes and regulations and Project budgeting and MS Office,Building site supervision and Concrete estimation,Civil construction administration,Meeting leadership and Emotional Intelligence,Continuous improvements."
27,722806,"Chartered Institution for Securities and Investment,Institute of Banking Studies,Mutah University",Business Administration,"English,Arabic","Licentiate degree from the CISI / SCA for, Operation, Compliance and Trading.,Treasury, Foreign Exchange Management, Operations Management, Back office, Middle office.,Risk Management, Liquidity Management, Equity Trading, Hedging, Cash Flow Management."
28,736225,Yarmouk University,Telecommunication Engineering,Unknown,"Adaptability,Strategic Planning, Operations Management, Policy Standardization.,Commercial, Account Management, Customer services & Public Relations,Sales Management, Target Achievement, Quality Assurance.,Financial Management, Cash Flow Analysis, Risk Management.,Communication & Negotiation Skills."
29,681336,"Al Balqa Applied University,Jordan University science and Technology","Industrial Engineering,Industrial Engineering","Arabic: Native Speaker,English: Very Good","Excellent Communication skills.,Proficient in internet and social media.,Ability to work under pressure times.,Data Analysis.,Team leader in Manufacturing Process ( Welding, cutting,.,Windows Microsoft Office: Word, Excel, Power point.,Visio.,Mechanical Software (Solid Work, Ansyes, Mastercam, AutoCAD, Mechanical Desktop).,Primavera P06.,Minitab, SAS.,AHP Decision Making.,Computer Numerical Control (CNC),Solid Work.,Supply Chain Management.,ISO 9001 team lead auditor,Insurance Skills and Communications"
30,729372,"The Hashemite University, Faculty of Engineering",Unknown,"Arabic: Native,English: Very Good - Speaking, Writing","Proficient in MS office Microsoft Office (Word, Excel, Access, PowerPoint+ internet).,Drafting using AutoCAD.,Designing using CAD/CAM.,Project management (PM) using MS project.,Course in MATLAB.,Excellent customer interaction skills.,Effective interpersonal skills.,Strong in planning and problem-solving abilities.,Enhance productivity through streaming process.,Handling projects from planning to execution.,Self-motivated, focused and a passionate Team player.,Able to work under pressure.,Willing to learn and absorb experience.,Meet target expectation, understanding, team work, and fast learner."
31,728354,AL-BALQAA APPLIED UNIVERSITY,Civil Engineering,"Native Arabic speaker.,Excellent English performance.","MICROSOFT OFFICE,AUTOCAD,PROKON,SAFE,ETABS,READING DRAWINGS,QUANTITY SURVEYING,PREMIVERA,Sap 2000"
32,430890,Jordan University of science and Technology,Industrial engineering,"English: (Very good -Writing, Reading and Conversation.)","Project management and production planning.,Adept knowledge in process improvement techniques and implementation of lean principles,Quality control,Strong organizational skills"
33,722562,"University of Jordan,",Business Adminstration,"Arabic Native.,English - good.","Passionate and self-motivated person. Participates in self and other professional development. Able to provide quality face to face interaction. Ability to live and work in multi-cultural environment. Ability to work under pressure. Able to assess and analyses situations quickly, objectively and prudently. Ability to communicate with people at all levels, willing to help, listen, and learn. Strong organizational and time management skills. Thinks strategically and analytically, multitask and priorities. Enjoy working in a team environment.,MS Office. Messaging and video conferencing."
34,725613,University Of Jordan,Industrial Engineering,Arabic and English,"Attention to detail, calendar management, coordination, passion for knowledge, problem ? solving, strong planning, target setting, team work and time managing.,Ability to follow organizational rules, regulations and policies.,Excellent communication, presentation and analytical skills.,Negotiation skills.,Self-motivated.,Take chances and opportunity.,Working under pressure and for long hours.,Very good report writing skills.,Very good oral and written communication."
35,735666,"Isra University,Applied Science Private University","management information system,finance and risk management","Arabic Mother languages ( Native Speaker).,English Fluent (Reading, writing, Speaking).","Committed, focused and hard working,Communication Skills.,Willing to work with teams.,Computer and internet Skills.,Leadership skills.,Selectivity and financial analysis Skills.,Teaching skills.,Information Security and Cyber Security."
