,CANDIDATE_REF_NUM,UNIVERSITY,EDUCATION,LANGUAGES,SKILLS
0,801790,"MAHATMA GANDHI UNIVERSITY,RVS COLLEGE OF ARTS AND SCIENCE, COIMBATORE.,SKILLCUBE, KOCHI.","CYBER FORENSICS,HIGHER SECONDARY",Unknown,"Developed user interfaces with modern JavaScript frameworks, HTML5 and CSS3.Web application development using Django framework.,Testing web application using Pi test. Application monitoring bench marking using Kibana..,Developed testing code for mobile and web-based applications.,Diagnosed and executed resolution for network and server issues. Improved overall user experience through support, training, troubleshooting, improvements and communication of system changes. Investigated and corrected problems with printers, copiers and other peripheral devices. Designed and evaluated WAN and LAN connectivity technologies. Set up hardware and software in optimal configurations to meet network performance requirements. Monitored network hardware operations to evaluate proper configuration. Performed network security design and integration duties. Conducted research, gathered information from multiple sources and presented results. Implementation and Management of SIEM tools (Splunk) Monitoring and Management of SIEM tools Reviewed violations of computer security procedures and developed mitigation plans. Monitored computer virus reports to determine when to update virus protection systems. Engineered, maintained and repaired security systems and programmable logic controls. Recommend improvements in security systems and procedures. Researched and developed new computer forensic tools. Encrypted data and erected firewalls to protect confidential information. Monitored use of data files and regulated access to protect secure information."
1,561103,The University of Jordan (Aqaba Branch),Business Information Technology,"Arabic (Native),English (Very Good)","B2B & B2C Marketing,MS Azure,Sales of Internet Services (Microwave, Fiber optics...etc),MS Server 2016,Digital Marketing,Trust Building,Client Follow-Through,Technical Support"
2,803472,كلية التربيه النوعيه,تكنولوجيا التعليم والتربيه,"عرب?,الإنجليزية","صيانة الكمبيوتر,مونتاج الفيديوا,الفوتوشوب,برامج الاوفيس"
3,805594,Arab community college,Accounting,"Arabic,English","Preparation Documents,Data Entry,Scanning Documents,Auditing Data entry (Scanning +Indexing),Excellent knowledge in using Windows (95/98/XP/VISTA), Word, Excel, Power Point etc,Able to initiate and complete multiple tasks simultaneously,Able to start and complete tasks with minimal supervision.,Have the ability to deal with all kinds of personalities."
4,527557,"al-balqa applied university,al-Balqa applied university (BAU). ?Amman","Computer information system,Computer information system","English,Arabic","Consistently met my short and long-term targets.,Answered calls, responded to emails, and spoke with clients face-to-face.,Handled customer complaints with empathy and composure.,processed a range of documentation and entered information into the database.,Team wrok - Adaptability - Decision Making - Multi task"
5,766518,THE HASHEMITE UNIVERSITY,B.S. PHYSICS,"ARABIC: Native,ENGLISH: Advanced High,SPANISH: Intermediate","Leadership,Strategic Planning,Time Management,Pressure Handling,Research,Manipulating and preparing data using SQL. (Basic Knowledge),Cleaning, analyzing, creating visualizations using Python. (Basic Knowledge),Handling data in spreadsheets using Microsoft Excel (Advance Knowledge),Using Adobe Photoshop to edit images, color correction and creating vector art."
6,779175,Jordan University Of Science And Technology,Network Engineering And Security,"C/C++,Python,Bash,PL/SQL","Good knowledge of OWASP top 10,Good knowledge in Networking protocols such as: TCP/IP, STP, OSPF, ARP, BGP and HTTP etc.,Good knowledge with Cryptography.,Good experience using Ghidra for Malware Analysing.,Good knowledge in Forensics and using some tools like Autopsy and Volatility,Good experience with security tools such as: Burp Suite, Wireshark, Nmap, Netcat, JohnTheRipper, SQLmap and Nessus."
7,407318,Alzeytoonah University Of Jordan,Computer and Communication Engineering,"Arabic,English,Deutsch","Microsoft Office Wordpress,Ability to work with minimum supervision. Empathetic & Careful listener. Excellent interpersonal and communication skills. Good problem-solving skills Ability to manage difficult situations calmly."
8,807266,Balqa Applied University,physics,"Arabic,English","Excellent interpersonal and technical communication skills.,Self-learner and Self-managed.,Strong analytical and problem-solving skills,Strong decision maker,Ability to motivate staff,A Service Mindset,Google drive,Microsoft Office: Word, Excel, Power Point,Microsoft Windows,Internet and Social Media Skills"
9,800976,"Putra Malaysia University,,Philadelphia University,","information security,Computer science","Arabic,English","Excellent Communication, Interpersonal, Analytical and Problem-solving skills.,Self-motivated fast learner and a team player with previous work experience under demanding, problem-oriented circumstances.,Cisco Certified Network Routing & Switching (CCNA-RS),Dynamic, Self-motivated, and Result oriented Personality,Flexible, adaptable and Time sensitive,Interpersonal, Organizational and Research skills,Excellent and Effective oral and written communication skills include tactfulness, cooperation, diplomacy and power of persuasion,Excellent Internet Researcher,Excellent archives skills and Soft Copies,"
