,CANDIDATE_REF_NUM,UNIVERSITY,EDUCATION,LANGUAGES,SKILLS
0,808825,"Yarmouk University,",Marketing,"Arabic: mother tongue,English: good","Critical thinking and problem solving abilities,Excellent communication skills,Digital advertising skills,Excellent Knowledge of Microsoft windows and Microsoft Office,Work under pressure,Negotiations skills,Costumer service Skills"
1,806130,Sudan University of Science and Technology - College of Business Studies,Marketing Department,"Arabic (mother tongue),English (Good)","Proficiency in the use of computers,The ability to work at any time,Ability to work under pressure"
2,554040,"Kharkov National University of Radioelectronics,Kharkov National University of Radioelectronics",Engineer of Communications Systems,"Arabic,English,Russian","? Comprehensive knowledge of telecommunications systems and equipment,? Sound knowledge of Voice-over-Internet Protocol and analog systems,? Solid ability to effectively interact with clients and end-users,? Strong familiarity with system maintenance procedures,? Outstanding organizational and analytical skills,? Excellent communications abilities,Researching potential investment opportunities.,Analyzing opportunities and risks inherent in specific sectors and markets.,Creating and presenting Investment Committee materials.,Managing junior team members.,Coordination of internal and external resources to analyze direct investments in real estate assets, real estate private equity funds, direct real estate co- investments and secondary real estate private equity acquisitions. This position will have an emphasis on secondary real estate private equity acquisitions.,Creation of valuation analysis, including creation of complex financial models."
3,796772,جامعة اليرموك,الاقتصاد,Unknown,Unknown
4,775044,BALQA APPLIED UNIVERSITY,CYBER SECURITY,"Arabic,English","Ability to learn in short time.,Very enthusiastic and hard working.,Excellent communication skills with both verbally and written.,Excellent knowledge in Microsoft applications"
5,424530,University of Petra,Marketing,Unknown,"Communication Skills Analytical Skills 60 W/M typing speed,Time Management Quality Control,Inbound Calls Outbound Calls"
6,721613,Yarmouk university,accounting,"ENGLISH: Fluent,ARABIC: Expert","CONCISE COMMUNICATIONS,ANALYTICAL ABILITY,SERVICE ORIENTATION,PLANNING AND ORGANIZING"
7,796884,UNIVERSITY OF JORDAN,ENGLISH AND ITALIAN,"English language,Italian language,Spanish language","Design conversational Chatbot using state of the art technology. Collaborate with the senior team (system architect and senior programmer) on application architecture design and decision-making.,Clean /analyze data coming from bot conversation. Define recurring questions that can be handled automatically defined by the client. Improve dialog flow to handle those recurring questions/develop new actions. Support handling multilingual NLP/NLU. Develop internal testing tools.,Familiar with JSON formats. Use ""Postman"" Application to test APIs with Technical teams. Great understanding for Telecom BSS industry with specialty in customer care and customer complaints.,Expert in complaint management using available tools such as Digital Care platforms and CRM. Mastering Wit.ai.,Administration skills. Good in translation. Marketing skills. Run and manage social media ads. Understanding of customer and market dynamics and requirements. Design a labor-management model, and analyzing reports. Email techniques.,Content writing. Run and manage social media platforms. Manage social media channels. Master the management and operation of multiple accounts. Enhancing digital marketing performance. Integrate digital marketing channels: website, FB, Instagram, WhatsApp, etc. Setting the social media strategy and communication pillars for client accounts. Moderate and respond to user questions and inquiries.,Team player, I perform well in groups, easy going and a friendly person.,Managing a group of employees.,Proficient in drawing and Acrylic Painting Arts on Canvas.,Proficient in Movie Maker.,Communicate with social media followers, including responding to queries in a timely manner.,Pull social media monitoring reports on a monthly basis, analyze the data, and set goals on how to enhance the performance next month.,Come up with creative and proactive ideas for social media accounts.,Able to handle customers fast in a proficient way.,Answer calls and respond to emails.,Handel customer i"
8,463386,The University,Political Sciences,"English & Arabic languages, fluent reading, writing, and speaking","Proficient with Microsoft Word, Excel and PowerPoint,Thorough understanding of social media and social media analytics,Time management, active listening and leadership skills,Problem-Solving, communication and customer service skills"
9,767124,Yarmouk University,Finance and Business,"Arabic: Native, English: very good","communication skills 98%,Team work& Team management 98%,Ability to work under pressure 95%,Using of computer & Internet 99%"
