,CANDIDATE_REF_NUM,UNIVERSITY,EDUCATION,LANGUAGES,SKILLS
0,803254,Middle East University,Civil Engineer,"Arabic: Native (mother language),English: Good (speaking, reading and writing)","Communication skills,Creativity,Positive attitude,Self-motivation,Flexibility,Self-Awareness,Persistent & Ambitious,Development,Organization,Team work,Problem Solving,Time management,Work under pressure,Leadership,Management skills,Construction skills,Attention to details"
1,821092,Al-Balqa Applied University/Faculty of Engineering Technology,Electrical Power Engineering,"Arabic: Native language,English: Fluent in speaking and writing","ETAP, MATLAB.,Leadership skills, Multitasking, Problem solving, Communication skills and language skills."
2,411571,Unknown,Telecommunication Engineering,"Arabic,English","Pro-active and logical approach to problem solving,Financial understanding and Business oriented,Health & Safety instructions & regulation compliance,Proficient in Microsoft Office (Word, Excel, PowerPoint and Visio),Good Knowledge in computer applications and networking,Self-motivated, flexible, enthusiastic and fluent in English both oral and written,Work under pressure and learn independently,Good presentation, time management and leadership skills,Good Communication Skills, good team spirit and ability to work independently.,Cisco equipment network design (Switching & Routing),Build the IP network and the configuration for routing and switch in packet tracer,Fiber cable maintenance work"
3,804994,"Isra University,Arab College Amman Jordan,Ahmad Toqan school","Communication & Electronic Engineering,Communication Engineering",Unknown,"Excellent in computer skills.,Excellent use of the Internet,Excellent in follow-up social media channels quickly and accurately.,Good negotiation skills,Good social skills / good communication skills.,Capable of communicating with others and working in a team environment and ability to learn new knowledge by reading and researching. Ability to work within the team and under pressure. Ability to deliver information in the easiest way. Continuous follow-up of modern methods in communication."
4,827153,Sudan University of Science and Technology,COMMUNICATIONS ENGINEERING,Arabic & English,"Innovative thinking.,Multitasking & Problem solving.,Dedication & hardworking.,Teamwork and leadership skills.,Fast learner.,Good communication skills.,Graphic design & Photography.,Strong experience in the field of Mobile network implementation and deployment (Transmission and radio access networks).,Radio network testing & analysis.,Capability to work in Multi-vendor environment (Familiar to Ericsson, Huawei, Nokia & ZTE RAN & transmission solutions).,Familiar to mobile network technology generations (GSM, UMTS & LTE) & IP networks.,Project management experience.,Security & CCTV systems Design & implementation.,MS Office & G Suite expert.,Computer hardware & software installation & maintenance.,Member of Sudanese Engineering society"
5,505160,"Sudan University of Science and Technology,",Electronics & Telecommunications Engineering,"Arabic,English","Project management,Strong decision maker,Complex problem solver,Team work,Innovative,Service-focused"
6,825110,Msu,"Physics, Physicist optics","Russian Native,English","Dwdm,SDH/PDH GPON/XGPON TCP/IP"
7,692655,Al-Balqa Applied University / Faculty of Engineering,Communication Engineering,"Arabic,English","Simplicity & Perfection.,Hard worker.,Work under pressure.,Good communicator.,Well time manager.,Ability to work effectively with people with different levels.,Microsoft Word,Microsoft Excel,Microsoft PowerPoint,C++ language,Micro C language,Assembly language,CCNA Course"
8,825939,"Al ? Yamamah University,","BBA in Management Information System (MIS),","Arabic,,English","virtualization (windows Hyper-V Manger, Oracle virtual box),? Unity (NAS-SAN),Power AC/DC ( High current / Low current ) ( 3 units),Good knowledge of UPS unit for Backup redundancy power supplies,Replacing and testing also purchasing f UPS battery units,? DC Infrastructure and civil oriented knowledge of placement of equipment and cabling such as cable trays under reside floor also celling mounted basket trays and wall mounted trays,Reviewing electrical line diagrams also design and specification compatibility.,Networking, included but not limited to ( 6+ units),Troubleshooting on site / remote access ( TeamViewer, anydesk, VPN),DC Infrastructure and civil oriented knowledge of placement of equipment and cabling such as cable trays under reside floor also celling mounted basket trays and wall mounted trays,? DC Network cable management standard implantation also cable labeling and schema,Promoting and implementing of Tier 3 DC standards and design,Maintenance, included but not limited ( 66+ Devices - 240 + AP),? Configuring Cisco equipment ( user names, passwords, VTP, Vlans, HSRP, LACP, trunking, .. etc),updating cisco switch IOS software,hardware deployment POE/Non- POE network equipment (Cisoc,Tp-link,.. etc),Replacing and purchasing networking hardware ( Core switches, distribution switches ,end point switches, access points),First hands knowledge and experience of Cisco hardware modules and specifications (WS-C3850-12S, WS-C6509-E, C6807-XL,WS-C6509-E, WS-C2960X-48FPD-L, WS-C3560- 48TS, WS-C2950G-24-EI, WS-C2960G-48TC-L, WS-C2960-24TC-L,WS-C2960+24PC-L, WS- C3550-24-PWR, WS-C2960X-48FPD-L, CISCO-2921),knowledge of networking Cable connectivity (Rj-11, RJ 45, Fiber, serial .. etc),24 hour server activity monitoring with SNMP and email notifications,Troubleshooting on site / remote access ( TeamViewer, anydesk, VPN, talent, SSH),SFP module knowledge of compatibilitys and types,MDF rooms Networking Cabinet design and cable management solution, including updates an"
9,404361,"University of Khartoum/,University of Khartoum/",Unknown,"Arabic,English","Web programming in HTML, CSS, PHP and MySQL.,Various operating systems including Windows XP/Vista/7/8, Ubuntu/CentOS Linux..,VoIP Application Software- Asterisk, Freeswitch,XML and Linux Shell Scripting, VMWare.,Microsoft Office."
