CURRENT_DEPARTMENT,CURRENT_JOB_TITLE,PREVIOUS_DEPARTMENT,PREVIOUS_JOB_TITLE,COURSE,DATE,SKILL
Commercial Support Department,Support & Quality Unit Team Member,Commercial Support Department,Delivery & Back Office Support Team Member,Teamwork Skills: Communicating Effectively in Groups,2023-05-12T12:05:41.000Z,
,,Enterprise Business,Network Administrator TM,Business Writing,2021-11-09T23:46:50.000Z,
,,Engineering,NOC Operator,Negotiation  Fundamentals,2021-11-03T22:14:46.000Z,
Consumer Business,VIP Account's (Darak) Professional,Consumer Business,VIP Account's Manager (Darak) TM,Teamwork Skills: Communicating Effectively in Groups,2023-08-16T08:33:00.000Z,
Technology and Digital Innovation,Enterprise Applications PT,,CRM Analyst and Developer Intern,Databases and SQL for Data Science with Python,2023-03-30T09:26:06.000Z,
,,Finance,Accounts Payable Team Member,Corporate Strategy,2021-08-17T17:12:03.000Z,
Engineering,RAN Implementation Senior Manager,Engineering,RAN Implementation Manager,Fundamentals of Project Planning and Management,2023-06-20T10:59:21.000Z,
Finance,Bank Reconciliation Senior Professional,Finance,Project & Reconciliation Team Member,Applying Data Analytics in Accounting,2023-05-06T07:28:08.000Z,
,,,CVM & Base Management Team Member,Data Analysis and Interpretation Capstone,2022-08-18T02:35:42.000Z,
Engineering,RAN Optimization Engineer Senior Team Member,Engineering,RAN Optimization Engineer,"Capstone: Retrieving, Processing, and Visualizing Data with Python",2022-12-30T12:02:35.000Z,
Commercial Support Department,Enterprise & Home Internet Complaints Engineer Professional,Commercial Support Department,Customer Service Center Technical Team Head,Customer Centricity as Competitive Advantage - Jagdish Sheth,2023-06-20T08:58:45.000Z,
Engineering,RAN Optimization Engineer Senior Professional,Engineering,RAN Optimization Engineer,Python Data Structures,2023-01-11T09:49:16.000Z,
Human Resources and Administration,"Pricing,Marketing Research & Business Intelligence Team Member",Human Resources and Administration,Talent Acquisition Team Member,Managing Talent,2022-11-06T19:42:54.000Z,
Technology and Digital Innovation,Quality Assurance Senior Team Member,Technology and Digital Innovation,Quality Assurance Team Member,Introduction to the Internet of Things and Embedded Systems,2021-09-13T14:09:48.000Z,
Legal & Regulatory Affairs,Regulatory Affairs Senior Team Member,Consumer Business,Abdali Mall Consumer Sales Consultant TM,What is Corruption: Anti-Corruption and Compliance,2023-05-28T20:17:42.000Z,
Human Resources and Administration,Day Care Center Care Giver Senior Professional,Human Resources and Administration,Day Care Center Care Giver,Teamwork Skills: Communicating Effectively in Groups,2023-08-06T12:34:48.000Z,
Engineering,RAN Dimensioning & Configuration Division Leader,Engineering,RAN Configuration Engineer,Collaborative Foresight: How to Game the Future,2022-02-24T14:24:32.000Z,
Commercial Support Department,Enterprise & Home Internet Complaints Engineer Professional,Commercial Support Department,Help Desk Enterprise Helper Team Member,Customer Centricity as Competitive Advantage - Jagdish Sheth,2023-07-17T22:32:57.000Z,
Commercial Support Department,Commercial Support & Quality Of Service Senior Team Member,Commercial Support Department,Commercial Support & Quality Of Service Team Member,Introduction to Data Analytics,2023-05-31T11:11:08.000Z,
Data Analytics & AI,Data Engineering Division Leader,Data Analytics & AI,Data Scientist & AI Professional PR,Fundamentals of Project Planning and Management,2021-09-17T13:57:13.000Z,
Consumer Business,Tabrbour Consumer Sales Consultant Senior Team Member,Consumer Business,Tabrbour Consumer Sales Consultant,Introduction to Data Analytics,2021-11-17T14:58:23.000Z,
Data Analytics & AI,Business Analytics & AI Department Assisstant Specialist,Data Analytics & AI,Data Analysis & Commission Team Leader TLT,Business Strategy in Practice (Project-centered Course),2021-12-26T14:33:01.000Z,
Technology and Digital Innovation,Technology Development Manager,Technology and Digital Innovation,Front End Developer Team Leader,Scrum Master Certification: Scrum Methodologies,2023-07-20T11:21:23.000Z,
Corporate Communications and Sustainability,Corporate Sustainability Senior Team Member,Corporate Communications and Sustainability,Corporate Communications & CSR Team Member AT,Data-Driven Process Improvement,2023-11-19T15:31:19.000Z,
Corporate Communications and Sustainability,Sponsorship Team Member,Corporate Communications and Sustainability,Sponsorship Team Member,Agile Project Management,2023-01-14T20:12:51.000Z,
Enterprise Business,Sales Back Office  Team Member,Enterprise Business,Sales Back Office,Introduction to Business Analytics: Communicating with Data ,2023-09-20T09:56:57.000Z,
Enterprise Business,Wholesale Data & International Services Specialist,Enterprise Business,Wholesale Data & International Services Team Member,Introduction to Business Analytics: Communicating with Data ,2023-08-21T22:59:17.000Z,
Enterprise Business,Key Account's Senior Team Member,Enterprise Business,Key Account's Manager TM,ظ…ظ‡ط§ط±ط© ظ…ط®ط§ط·ط¨ط© ط§ظ„ط¬ظ…ظ‡ظˆط± | Public Speaking Skills,2023-08-23T12:46:31.000Z,
Engineering,RAN Planning Engineer Senior Professional,Engineering,RAN Planning Engineer Team Member,Urgent Optimism: How to Turn Foresight into Action,2022-03-06T15:27:24.000Z,
"Governance, Risk, and Compliance",Business Excellence Specialist,"Governance, Risk, and Compliance",Business Excellence Team Member TM,Excel Power Tools for Data Analysis,2023-07-11T02:59:13.000Z,
Finance,Commercial Procurement Professional,Finance,Procurement Team Member,Data-Driven Decisions with Power BI,2023-07-04T09:43:01.000Z,
Human Resources and Administration,"Diversity, Equity, and inclusion Team Member",Human Resources and Administration,Organizational Development Team Member AT,Business Writing,2022-08-20T08:27:52.000Z,
Consumer Business,Hashmi Consumer Sales Consultant Professional,Consumer Business,Wehdat Consumer Sales Consultant PR,Quantitative Methods in Finance,2022-01-01T19:07:35.000Z,
Engineering,GIS Engineer Team Member,Engineering,GIS Engineer Team Member,"Capstone: Retrieving, Processing, and Visualizing Data with Python",2023-01-17T05:16:53.000Z,
